date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:36:14	0/-1	---M--	302	error ('Found%20:%20Moved%20Temporarily')	text/html		http://www.ey.com/pt_mz	Copy/www.ey.com/pt_mz.0.delayed	(from )
11:36:14	114466/114466	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:14%20GMT	https://www.ey.com/pt_mz	Copy/www.ey.com/pt_mz.html	(from )
11:36:16	1281/1281	---M-Z	200	added ('OK')	text/plain	date:Thu,%2030%20Jun%202022%2014:23:16%20GMT	https://www.ey.com/robots.txt		(from )
11:36:16	83187/83187	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:16%20GMT	https://www.ey.com/pt_mz/search?q=	Copy/www.ey.com/pt_mz/search03d2.html	(from https://www.ey.com/pt_mz)
11:36:17	156438/156438	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:17%20GMT	https://www.ey.com/en_mz/transformation-realized/what-to-do-in-2022	Copy/www.ey.com/en_mz/transformation-realized/what-to-do-in-2022.html	(from https://www.ey.com/pt_mz)
11:36:18	157487/157487	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:18%20GMT	https://www.ey.com/en_mz/forensic-integrity-services/how-a-focus-on-governance-can-help-reimagine-corporate-integrity	Copy/www.ey.com/en_mz/forensic-integrity-services/how-a-focus-on-governance-can-help-reimagine-corporate-integrity.html	(from https://www.ey.com/pt_mz)
11:36:19	109526/109526	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:19%20GMT	https://www.ey.com/pt_mz/insights	Copy/www.ey.com/pt_mz/insights.html	(from https://www.ey.com/pt_mz)
11:36:20	73449/73449	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:20%20GMT	https://www.ey.com/pt_mz/technology	Copy/www.ey.com/pt_mz/technology.html	(from https://www.ey.com/pt_mz)
11:36:21	77156/77156	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:21%20GMT	https://www.ey.com/pt_mz/long-term-value	Copy/www.ey.com/pt_mz/long-term-value.html	(from https://www.ey.com/pt_mz)
11:36:22	86917/86917	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:22%20GMT	https://www.ey.com/pt_mz/sustainability	Copy/www.ey.com/pt_mz/sustainability.html	(from https://www.ey.com/pt_mz)
11:36:23	72052/72052	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:23%20GMT	https://www.ey.com/pt_mz/trust	Copy/www.ey.com/pt_mz/trust.html	(from https://www.ey.com/pt_mz)
11:36:24	74624/74624	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:24%20GMT	https://www.ey.com/pt_mz/purpose	Copy/www.ey.com/pt_mz/purpose.html	(from https://www.ey.com/pt_mz)
11:36:25	109987/109987	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:25%20GMT	https://www.ey.com/pt_mz/ceo	Copy/www.ey.com/pt_mz/ceo.html	(from https://www.ey.com/pt_mz)
11:36:26	75025/75025	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:26%20GMT	https://www.ey.com/pt_mz/cfo-agenda	Copy/www.ey.com/pt_mz/cfo-agenda.html	(from https://www.ey.com/pt_mz)
11:36:27	81563/81563	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Oct%202023%2011:36:27%20GMT	https://www.ey.com/pt_mz/coo	Copy/www.ey.com/pt_mz/coo.html	(from https://www.ey.com/pt_mz)
